GENESIS-Tabelle: 21371-101
Hochschulfinanzen: Einnahmen (EUR), Einnahmenarten,;;;;;;;;;
Hochschulen, Lehr- und Forschungsbereiche -;;;;;;;;;
Sachsen - Jahre (2006 bis 2014);;;;;;;;;
Hochschulfinanzstatistik, jährlich;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Einnahmen der Hochschulen (Tsd. EUR);;;;;;;;;
;;;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten
;;;Insgesamt;Beiträge der Studenten;Einnahmen aus wirtschaftl. Tätigkeit und Vermögen;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;And. Einnahmen aus Zuwendungen/Zuschüssen (oh.T.)
;;;;Insgesamt;Insgesamt;Insgesamt;vom öffentlichen  Bereich (ohne Träger);vom anderen Bereich (ohne Träger);Insgesamt
Verwaltungsfachhochschulen;  Vorklinische Veterinärmedizin;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Agrar-, Forst- und Ernährungswissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Forstwissenschaft, Holzwirtschaft;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Landespflege, Umweltgestaltung;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Ingenieurwissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Architektur;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Bauingenieurwesen;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Bergbau, Hüttenwesen;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Elektrotechnik;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Ingenieurwissenschaften allgemein;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Maschinenbau/Verfahrenstechnik;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Raumplanung;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Verkehrstechnik, Nautik;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Vermessungswesen;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Kunst, Kunstwissenschaft;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Bildende Kunst;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Gestaltung;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Kunst, Kunstwissenschaft allgemein;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Musik, Musikwissenschaft;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;109;1;108;-;-;-;-
Verwaltungsfachhochschulen;  Hochschule insgesamt;2014;88;-;88;-;-;-;-
Verwaltungsfachhochschulen;  Hochschulrechenzentrum;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Soziale Einrichtungen;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Übrige Ausbildungseinrichtungen;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Zentral verwaltete Hörsäle und Lehrräume;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Zentralbibliothek;2014;1;1;-;-;-;-;-
Verwaltungsfachhochschulen;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Zentrale Hochschulverwaltung;2014;20;-;20;-;-;-;-
Verwaltungsfachhochschulen;  Zentrale wissenschaftliche Einrichtungen;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Kliniken insgesamt, Zentrale Dienste;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Soziale Einrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Übrige Ausbildungseinrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Insgesamt;2014;1611;1;1566;44;44;-;-
Berufsakademien;Sprach- und Kulturwissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;-;-;-;-;-;-;-
Berufsakademien;  Altphilologie (klass. Philologie);2014;-;-;-;-;-;-;-
Berufsakademien;  Anglistik, Amerikanistik;2014;-;-;-;-;-;-;-
Berufsakademien;  Bibliothekswissenschaft, Dokumentation;2014;-;-;-;-;-;-;-
Berufsakademien;  Erziehungswissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Evangelische Theologie;2014;-;-;-;-;-;-;-
Berufsakademien;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;-;-;-;-;-;-;-
Berufsakademien;  Geschichte;2014;-;-;-;-;-;-;-
Berufsakademien;  Katholische Theologie;2014;-;-;-;-;-;-;-
Berufsakademien;  Kulturwissenschaften i.e.S.;2014;-;-;-;-;-;-;-
Berufsakademien;  Philosophie;2014;-;-;-;-;-;-;-
Berufsakademien;  Psychologie;2014;-;-;-;-;-;-;-
Berufsakademien;  Romanistik;2014;-;-;-;-;-;-;-
Berufsakademien;  Slawistik, Baltistik, Finno-Ugristik;2014;-;-;-;-;-;-;-
Berufsakademien;  Sonderpädagogik;2014;-;-;-;-;-;-;-
Berufsakademien;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Sprach- und Kulturwissenschaften allgemein;2014;-;-;-;-;-;-;-
Berufsakademien;Sport;2014;-;-;-;-;-;-;-
Berufsakademien;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Politikwissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;-;-;-;-;-;-;-
Berufsakademien;  Rechtswissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Regionalwissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Sozialwesen;2014;-;-;-;-;-;-;-
Berufsakademien;  Sozialwissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Verwaltungswissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Berufsakademien;  Wirtschaftswissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;Mathematik, Naturwissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Biologie;2014;-;-;-;-;-;-;-
Berufsakademien;  Chemie;2014;-;-;-;-;-;-;-
Berufsakademien;  Geographie;2014;-;-;-;-;-;-;-
Berufsakademien;  Geowissenschaften (ohne Geographie);2014;-;-;-;-;-;-;-
Berufsakademien;  Informatik;2014;-;-;-;-;-;-;-
Berufsakademien;  Mathematik;2014;-;-;-;-;-;-;-
Berufsakademien;  Mathematik, Naturwissenschaften allgemein;2014;-;-;-;-;-;-;-
Berufsakademien;  Pharmazie;2014;-;-;-;-;-;-;-
Berufsakademien;  Physik, Astronomie;2014;-;-;-;-;-;-;-
Berufsakademien;Humanmedizin/Gesundheitswissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Gesundheitswissenschaften allgemein;2014;-;-;-;-;-;-;-
Berufsakademien;  Humanmedizin allgemein;2014;-;-;-;-;-;-;-
Berufsakademien;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;-;-;-;-;-;-;-
Berufsakademien;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Berufsakademien;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Berufsakademien;  Zahnmedizin (klinisch-praktisch);2014;-;-;-;-;-;-;-
Berufsakademien;Veterinärmedizin;2014;-;-;-;-;-;-;-
Berufsakademien;  Klinisch-Praktische Veterinärmedizin;2014;-;-;-;-;-;-;-
Berufsakademien;  Klinisch-Theoretische Veterinärmedizin;2014;-;-;-;-;-;-;-
Berufsakademien;  Veterinärmedizin allgemein;2014;-;-;-;-;-;-;-
Berufsakademien;  Vorklinische Veterinärmedizin;2014;-;-;-;-;-;-;-
Berufsakademien;Agrar-, Forst- und Ernährungswissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
Berufsakademien;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;-;-;-;-;-;-;-
Berufsakademien;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Forstwissenschaft, Holzwirtschaft;2014;-;-;-;-;-;-;-
Berufsakademien;  Landespflege, Umweltgestaltung;2014;-;-;-;-;-;-;-
Berufsakademien;Ingenieurwissenschaften;2014;-;-;-;-;-;-;-
Berufsakademien;  Architektur;2014;-;-;-;-;-;-;-
Berufsakademien;  Bauingenieurwesen;2014;-;-;-;-;-;-;-
Berufsakademien;  Bergbau, Hüttenwesen;2014;-;-;-;-;-;-;-
Berufsakademien;  Elektrotechnik;2014;-;-;-;-;-;-;-
Berufsakademien;  Ingenieurwissenschaften allgemein;2014;-;-;-;-;-;-;-
Berufsakademien;  Maschinenbau/Verfahrenstechnik;2014;-;-;-;-;-;-;-
Berufsakademien;  Raumplanung;2014;-;-;-;-;-;-;-
Berufsakademien;  Verkehrstechnik, Nautik;2014;-;-;-;-;-;-;-
Berufsakademien;  Vermessungswesen;2014;-;-;-;-;-;-;-
Berufsakademien;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Berufsakademien;Kunst, Kunstwissenschaft;2014;-;-;-;-;-;-;-
Berufsakademien;  Bildende Kunst;2014;-;-;-;-;-;-;-
Berufsakademien;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;-;-;-;-;-;-;-
Berufsakademien;  Gestaltung;2014;-;-;-;-;-;-;-
Berufsakademien;  Kunst, Kunstwissenschaft allgemein;2014;-;-;-;-;-;-;-
Berufsakademien;  Musik, Musikwissenschaft;2014;-;-;-;-;-;-;-
Berufsakademien;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;-;-;-;-;-;-;-
Berufsakademien;  Hochschule insgesamt;2014;-;-;-;-;-;-;-
Berufsakademien;  Hochschulrechenzentrum;2014;-;-;-;-;-;-;-
Berufsakademien;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;-;-;-;-;-;-;-
Berufsakademien;  Soziale Einrichtungen;2014;-;-;-;-;-;-;-
Berufsakademien;  Übrige Ausbildungseinrichtungen;2014;-;-;-;-;-;-;-
Berufsakademien;  Zentral verwaltete Hörsäle und Lehrräume;2014;-;-;-;-;-;-;-
Berufsakademien;  Zentralbibliothek;2014;-;-;-;-;-;-;-
Berufsakademien;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;-;-;-;-;-;-;-
Berufsakademien;  Zentrale Hochschulverwaltung;2014;-;-;-;-;-;-;-
Berufsakademien;  Zentrale wissenschaftliche Einrichtungen;2014;-;-;-;-;-;-;-
Berufsakademien;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;-;-;-;-;-;-;-
Berufsakademien;  Kliniken insgesamt, Zentrale Dienste;2014;-;-;-;-;-;-;-
Berufsakademien;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;-;-;-;-;-;-;-
Berufsakademien;  Soziale Einrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Berufsakademien;  Übrige Ausbildungseinrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Berufsakademien;Insgesamt;2014;-;-;-;-;-;-;-
__________
© Statistisches Landesamt des Freistaates Sachsen, Kamenz, 2021 
Stand: 18.01.2021 / 13:14:51
