GENESIS-Tabelle: 21371-101
Hochschulfinanzen: Einnahmen (EUR), Einnahmenarten,;;;;;;;;;
Hochschulen, Lehr- und Forschungsbereiche -;;;;;;;;;
Sachsen - Jahre (2006 bis 2014);;;;;;;;;
Hochschulfinanzstatistik, jährlich;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Einnahmen der Hochschulen (Tsd. EUR);;;;;;;;;
;;;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten
;;;Insgesamt;Beiträge der Studenten;Einnahmen aus wirtschaftl. Tätigkeit und Vermögen;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;And. Einnahmen aus Zuwendungen/Zuschüssen (oh.T.)
;;;;Insgesamt;Insgesamt;Insgesamt;vom öffentlichen  Bereich (ohne Träger);vom anderen Bereich (ohne Träger);Insgesamt
Universitäten in Trägerschaft des Landes;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;2001;677;630;694;-;694;-
Universitäten in Trägerschaft des Landes;  Zentrale Hochschulverwaltung;2014;36314;449;3038;31020;14010;17010;1807
Universitäten in Trägerschaft des Landes;  Zentrale wissenschaftliche Einrichtungen;2014;16010;8;296;15706;5357;10349;-
Universitäten in Trägerschaft des Landes;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Kliniken insgesamt, Zentrale Dienste;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Soziale Einrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Übrige Ausbildungseinrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;Insgesamt;2014;444933;2895;25278;414217;149446;264771;2544
Universitätskliniken;Sprach- und Kulturwissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;-;-;-;-;-;-;-
Universitätskliniken;  Altphilologie (klass. Philologie);2014;-;-;-;-;-;-;-
Universitätskliniken;  Anglistik, Amerikanistik;2014;-;-;-;-;-;-;-
Universitätskliniken;  Bibliothekswissenschaft, Dokumentation;2014;-;-;-;-;-;-;-
Universitätskliniken;  Erziehungswissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Evangelische Theologie;2014;-;-;-;-;-;-;-
Universitätskliniken;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;-;-;-;-;-;-;-
Universitätskliniken;  Geschichte;2014;-;-;-;-;-;-;-
Universitätskliniken;  Katholische Theologie;2014;-;-;-;-;-;-;-
Universitätskliniken;  Kulturwissenschaften i.e.S.;2014;-;-;-;-;-;-;-
Universitätskliniken;  Philosophie;2014;-;-;-;-;-;-;-
Universitätskliniken;  Psychologie;2014;-;-;-;-;-;-;-
Universitätskliniken;  Romanistik;2014;-;-;-;-;-;-;-
Universitätskliniken;  Slawistik, Baltistik, Finno-Ugristik;2014;-;-;-;-;-;-;-
Universitätskliniken;  Sonderpädagogik;2014;-;-;-;-;-;-;-
Universitätskliniken;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Sprach- und Kulturwissenschaften allgemein;2014;-;-;-;-;-;-;-
Universitätskliniken;Sport;2014;-;-;-;-;-;-;-
Universitätskliniken;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Politikwissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;-;-;-;-;-;-;-
Universitätskliniken;  Rechtswissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Regionalwissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Sozialwesen;2014;-;-;-;-;-;-;-
Universitätskliniken;  Sozialwissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Verwaltungswissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Universitätskliniken;  Wirtschaftswissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;Mathematik, Naturwissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Biologie;2014;-;-;-;-;-;-;-
Universitätskliniken;  Chemie;2014;-;-;-;-;-;-;-
Universitätskliniken;  Geographie;2014;-;-;-;-;-;-;-
Universitätskliniken;  Geowissenschaften (ohne Geographie);2014;-;-;-;-;-;-;-
Universitätskliniken;  Informatik;2014;-;-;-;-;-;-;-
Universitätskliniken;  Mathematik;2014;-;-;-;-;-;-;-
Universitätskliniken;  Mathematik, Naturwissenschaften allgemein;2014;-;-;-;-;-;-;-
Universitätskliniken;  Pharmazie;2014;-;-;-;-;-;-;-
Universitätskliniken;  Physik, Astronomie;2014;-;-;-;-;-;-;-
Universitätskliniken;Humanmedizin/Gesundheitswissenschaften;2014;759908;15;680919;78476;23166;55310;498
Universitätskliniken;  Gesundheitswissenschaften allgemein;2014;502;-;0;502;39;464;-
Universitätskliniken;  Humanmedizin allgemein;2014;22610;15;6547;16046;4124;11922;3
Universitätskliniken;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;668000;-;636566;30949;5142;25808;485
Universitätskliniken;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;48358;-;25074;23273;10715;12558;11
Universitätskliniken;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;8510;-;1427;7083;2933;4150;-
Universitätskliniken;  Zahnmedizin (klinisch-praktisch);2014;11927;-;11304;622;213;409;-
Universitätskliniken;Veterinärmedizin;2014;-;-;-;-;-;-;-
